State,Median_earning,Year
Australian Capital Territory,63061,2016
Australian Capital Territory,63038,2017
Australian Capital Territory,64332,2018
Australian Capital Territory,66594,2019
Australian Capital Territory,68325,2020
Northern Territory,59466,2016
Northern Territory,58669,2017
Northern Territory,60636,2018
Northern Territory,61517,2019
Northern Territory,62010,2020
Western Australia,52504,2016
Western Australia,51450,2017
Western Australia,52671,2018
Western Australia,54220,2019
Western Australia,55208,2020
New South Wales,48085,2016
New South Wales, 48700,2017
New South Wales,50153,2018
New South Wales,51818,2019
New South Wales,52894,2020
Victoria,46984,2016
Victoria,47709,2017
Victoria,49266,2018
Victoria,51027,2019
Victoria,51996,2020
Queensland,46896,2016
Queensland,47425,2017
Queensland,48826,2018
Queensland,50298,2019
Queensland,51197,2020
South Australia,46110,2016
South Australia,46937,2017
South Australia,48354,2018
South Australia,49888,2019
South Australia,50440,2020
Tasmania,43833,2016
Tasmania,44437,2017
Tasmania,45546,2018
Tasmania,47352,2019
Tasmania,47909,2020
