Qualification,Gender,Earning
Postgraduate degree,Males,2098.265
Graduate diploma/Graduate certificate,Males,2026.716
Bachelor degree,Males,1726
Advanced diploma/Diploma,Males,1649
Certificate III/IV,Males,1479.824
Other,Males,1225.668
Without non-school qualifications,Males,1050
Postgraduate degree,Females,1578
Graduate diploma/Graduate certificate,Females,1536.362
Bachelor degree,Females,1399
Advanced diploma/Diploma,Females,1141.829
Certificate III/IV,Females,950
Other,Females,900
Without non-school qualifications,Females,799
