"Industry",2017,2022
"Mining",2076,2497
"Electricity, Gas, Water and Waste Services",1537,1855
"Financial and Insurance Services",1348,1700
"Professional, Scientific and Technical Services",1387,1692
"Public Administration and Safety",1380,1620
"Information Media and Telecommunications",1205,1600
"Construction",1200,1380
"Transport, Postal and Warehousing",1200,1355
"Manufacturing",1070,1300
"Wholesale Trade",1154,1300
"Education and Training",1149,1299
"Rental, Hiring and Real Estate Services",1059,1201
"Health Care and Social Assistance",950,1150
"Other Services",920,1145
"Agriculture, Forestry and Fishing",900,1100
"Administrative and Support Services",854,1050
"Arts and Recreation Services",800,1000
"Retail Trade",700,800
"Accommodation and Food Services",489,600
